page,bonus_1,bonus_2,bonus_3,bonus_4,bonus_5,bonus_6,bonus_7,bonus_8,bonus_9,bonus_10,bonus_11,bonus_12,Trail.1,Online Update.type,ESO Sets With.1,ESO Sets With.3,ESO Sets With.2,ESO Sets With.4,ESO Sets With.5,ESO Sets With.settype,ESO Sets With.6,ESO Sets With.source,ESO Sets With.7,ESO Sets With.8,ESO Sets With.9,ESO Sets With.10,ESO Sets With.11,Mod Header.1,ESO Sets With.dlc,ESO Sets With.12,ESO Weapon Damage Link.3,ESO Health Link.1,ESO Sets With.13,ESO Stamina Link.1,ESO Magicka Link.1,Item Link.quality,ESO Sets With.14,Item Link.id,Item Link.summary,Item Link.1,about.1,about.2,about.3,ESO Magicka Link.2,ESO Stamina Link.2,ESO Sets With.15,Place Link.1,ESO Sets With.dungeon,ESO Sets With.chest,ESO Sets With.boss,Item Link.2,icon.1,icon.2,ESO Quality Color.1,ESO Quality Color.2,ESO Ultimate Link.1,icon.al
Online:Vengeance Leech,,Adds 28-1206 Maximum Health,"When you kill an enemy, you heal for 64-2772 Health and restore 64-2772 Magicka and Stamina.",,,,,,,,,,Sets,itemset,Maximum Health,Restore Health,Kill Bonus,Restore Magicka,Restore Stamina,Three Piece,3-Piece Bonus,Bruma,Any Weapon,Shield,Jewelry,Alliance Style,Alliance Point Cost,,,,,28-1206 Maximum,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Venomous Smite,,Adds 15-657 Critical Chance,Adds 15-657 Critical Chance,Adds 3-129 Weapon Damage and Spell Damage,"Dealing Critical Damage inflicts Hunter's Venom on your enemy for 10 seconds, dealing 714 Poison damage to your target and enemies within 6 meters of them every 2 seconds. This effect can occur once every 15 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Weapon/Spell Critical,Double Weapon/Spell Critical,Double Weapon/Spell Critical,Weapon/Spell Damage,Critical Damage Bonus,Medium Armor,Negative Effect Bonus,Western Skyrim,Poison Damage,Area of Effect,Damage Over Time,5-Piece Bonus,Medium Armor,Greymoor,Greymoor,Any Weapon,y,,Jewelry,,,2,Greymoor Style,159722,1,Angrar's Brace,,,,,,,,,,,,,,,,,
Online:Vestment of Olorime,,Adds 3-129 Magicka Recovery,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 3-129 Magicka Recovery,"Casting abilities that leave an effect on the ground in combat will create a circle of might for 5 seconds. You and your group members in the circle gain Major Courage for 20 seconds, increasing your Weapon Damage and Spell Damage by 430 for 20 seconds. This effect can occur once every 10 seconds.",,,,,,,,Sets,itemset,Magicka Recovery,Double Magicka Recovery,Minor Aegis,Skill Bonus,Area of Effect Bonus,Light Armor,Area of Effect,Cloudrest,Group Bonus,Major Courage,5-Piece Bonus,Light Armor,Any Weapon,Summerset,Summerset,Jewelry,y,,Welkynar Style,,3-129,,,,,,,,,Recovery,,,,,,,,,,,,,
Online:Vestments of the Warlock,,Adds 3-129 Magicka Recovery,Adds 25-1096 Maximum Magicka,Adds 3-129 Magicka Recovery,"When you cast an ability that costs resources while under 25% Magicka, you restore 263-11350 Magicka. This effect can occur once every 45 seconds.",,,,,,,,Sets,itemset,Magicka Recovery,Double Magicka Recovery,Maximum Magicka,Low Magicka Bonus,Skill Bonus,Light Armor,Restore Magicka,Selene's Web,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,Breton Style,,,,,,,,3-129,3,,22200,1,,,,,Recovery,,,,,,,Foulhide's Fang,,,,,,
Online:Vesture of Darloc Brae,,Adds 3-129 Magicka Recovery,Adds 3-129 Stamina Recovery,Reduces the radius you can be detected while Sneaking by 2 meters. Reduces the cost of Sneak by 0-10%.,"While you are crouching and not Bracing, you restore 15-670 Magicka and Stamina and heal for 15-670 Health every second.",,,,,,,,Sets,itemset,Magicka Recovery,Improved Stealth,Stamina Recovery,Reduce Stealth Cost,Restore Magicka,Medium Armor,Restore Stamina,Northern Elsweyr,Restore Health,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,Elsweyr,Elsweyr,Anequina Style,,15-670,,3-129,3-129,3,,150386,1,Skein-Woven Grips,,,,Recovery,Recovery,,,,,,Riverhold Dragonfeller,,,,,,
Online:Vicecanon of Venom,,Adds 3-129 Weapon Damage and Spell Damage,Adds 3-129 Weapon Damage and Spell Damage,Adds 15-657 Critical Chance,"When you deal direct Critical Damage to an enemy while behind them, you inject a leeching poison that deals 1300 Poison Damage over 10 seconds to them and heals you for 100% of the damage done. This effect can occur once every 10 seconds per enemy and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Maximum Stamina,Stamina Recovery,Weapon/Spell Damage,Direct Damage Bonus,Critical Damage Bonus,Medium Armor,Positioning Bonus,Tel Var Merchants,Poison Damage,Damage Over Time,Restore Health,5-Piece Bonus,Medium Armor,Imperial City,,Any Weapon,y,,Jewelry,,,,Argonian Style,,,,,,,,,Tel Var Cost,,,,,,,,,,,
Online:Vicious Death,,Adds 3-129 Weapon Damage and Spell Damage,Adds 3-129 Weapon Damage and Spell Damage,Adds 15-657 Critical Chance,"When you kill a Player, they violently explode for 3322 Flame Damage to all other enemies in a 5 meter radius. This effect scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Weapon/Spell Critical,Maximum Magicka,Physical/Spell Penetration,Physical/Spell Penetration,Light Armor,Kill Bonus,Elite Gear Vendors,PvP Bonus,Area of Effect,Flame Damage,5-Piece Bonus,Light Armor,,,Any Weapon,y,,Jewelry,,,,Alliance Style,,,,,,,,,Alliance Point Cost,,,,,,,,,,,
Online:Vicious Serpent,,Adds 15-657 Critical Chance,"Gain Minor Slayer at all times, increasing your damage done to Dungeon, Trial, and Arena Monsters by 5%.",Adds 15-657 Critical Chance,"Reduces the cost of your Stamina abilities by 8%. When an enemy you have recently damaged dies, you restore 57-2454 Stamina and gain Major Expedition for 8 seconds, increasing your Movement Speed by 30%. These effects can occur once every second.",,,,,,,,Sets,itemset,Weapon/Spell Critical,Double Weapon/Spell Critical,Minor Slayer,Weapon/Spell Damage,Weapon/Spell Damage,Medium Armor,Reduce Stamina Cost,Sanctum Ophidia,Kill Bonus,Major Expedition,Restore Stamina,5-Piece Bonus,Medium Armor,,,Yokudan Style,y,,Any Weapon,57-2454,,,Jewelry,,,,,,,,,,,,,,,,,,,,
Online:Viper's Sting,,Adds 15-657 Critical Chance,Adds 25-1096 Maximum Stamina,Adds 15-657 Critical Chance,"When you deal damage with a Martial melee attack, you deal an additional 928 Poison damage over 4 seconds. This effect can occur once every 4 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Weapon/Spell Critical,Double Weapon/Spell Critical,Maximum Stamina,Melee Damage Bonus,Poison Damage,Medium Armor,Damage Over Time,Fungal Grotto,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,Argonian Style,,,,y,,,25-1096 Maximum,,3,,32168,1,,,,,,,,,,,,Debaser,,,,,,
Online:Virulent Shot,,Scatter Shot applies a damage over time effect that deals 65% of your initial attack as Poison Damage every 2 seconds for 4 seconds. The duration increases if you are farther away from your target to a maximum of 12 seconds.,,,,,,,,,,,Sets,itemset,Skill Bonus,Poison Damage,Bow Bonus,Damage Over Time,Distance Bonus,Weapon,2-Piece Bonus,Blackrose Prison,Bow,Honor Guard Style,,,,Murkmire,Murkmire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Vivec's Duality,,Adds 25-1096 Maximum Magicka,Adds 25-1096 Maximum Stamina,Adds 25-1096 Maximum Magicka,"Your weapon charges over 15 seconds while not Weapon Swapping. Once fully charged, restore 6636 Magicka and Stamina after Weapon Swapping.",,,,,,,,Sets,itemset,Maximum Magicka,Double Maximum Magicka,Maximum Stamina,Restore Magicka,Restore Stamina,Light Armor,Swap Weapon Bonus,Apocrypha/Telvanni Peninsula,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,Dead Keeper Style,Necrom,Necrom,,,,,25-1096 Maximum,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,
Online:Vlastarus/Sets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Void Bash,,"When you deal damage with Power Bash, you apply Call of the Void to yourself for 2 seconds. Enemies within 12 meters are immediately pulled to you. After Call of the Void ends, you apply Major Maim to enemies in the area for 10 seconds, reducing their damage done by 10%. This effect can occur once every 13 seconds.",,,,,,,,,,,Sets,itemset,Skill Bonus,Pull,Distance Bonus,Area of Effect,Major Maim,Weapon,2-Piece Bonus,Vateshran Hollows,One Handed Weapon,Shield,Ancestral Reach Style,,,Markarth,Markarth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Voidcaller,,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Magicka,Adds 3-129 Weapon Damage and Spell Damage,"When you take damage, your Weapon Damage and Spell Damage is increased by 0-24 for 5 seconds, stacking up to 20 times. This effect can occur once every half second. Upon reaching 20 stacks, the duration is doubled but can no longer be refreshed.",,,,,,,,Sets,itemset,Maximum Health,Weapon/Spell Damage,Maximum Magicka,Counterattack,Double Weapon/Spell Damage,Light Armor,5-Piece Bonus,The Reach,Light Armor,Any Weapon,Jewelry,Nighthollow Style,,Markarth,Markarth,,y,28-1206 Maximum,,,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,
Online:Vrol's Command,,Adds 25-1096 Maximum Stamina,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 28-1206 Maximum Health,"After completing a fully-charged Heavy Attack, apply Major Aegis to you and up to 11 nearby group members for 12 seconds, reducing damage taken from Dungeon, Trial, and Arena enemies by 10%. This effect can occur once every 21 seconds.",,,,,,,,Sets,itemset,Maximum Stamina,Maximum Health,Minor Aegis,Heavy Attack Bonus,Group Bonus,Heavy Armor,Full Group Bonus,Kyne's Aegis,Distance Bonus,Major Aegis,,5-Piece Bonus,Heavy Armor,Greymoor,Greymoor,Any Weapon,,28-1206 Maximum,Jewelry,25-1096 Maximum,,,Sea Giant Style,,,,,,,,,,,,,,,,,,,,
Online:Vykand's Soulfury,,Adds 15-657 Critical Chance,Adds 34-1487 Offensive Penetration,Adds 3-129 Weapon Damage and Spell Damage,"While in combat, completing a fully-charged Heavy Attack grants you either Major Force, Major Berserk, or Major Courage for 12 seconds, increasing your Critical Damage done by 20%, your damage done by 10%, or your Weapon Damage and Spell Damage by 430. This effect can occur once every 9 seconds.",,,,,,,,Sets,itemset,Weapon/Spell Critical,Weapon/Spell Damage,Physical/Spell Penetration,Double Weapon/Spell Damage,Critical Damage Bonus,Medium Armor,Heavy Attack Bonus,Black Gem Foundry,Major Force,Major Berserk,Major Courage,Increase Damage Dealt,5-Piece Bonus,Feast of Shadows,Feast of Shadows,Medium Armor,y,,Any Weapon,,,,Jewelry,,,,,,,,,Black Soul Gem Style,,,,,,,,,,,
Online:Vykosa,Adds 4% Healing Taken,"When you Bash an enemy you've taunted, you frighten them with a deafening howl, applying Major Cowardice to them, lowering their Weapon Damage and Spell Damage by 430 for 8 seconds. This effect can occur once every 15 seconds.",,,,,,,,,,,Sets,itemset,Increase Healing Received,Taunt Bonus,Bash Bonus,Major Cowardice,Undaunted Style,Monster Helm Sets,2-Piece Bonus,Moon Hunter Keep,Head and Shoulders,,,,,Wolfhunter,Wolfhunter,,y,,,,,,,,,,the set,the dungeon boss which drops pieces from the set,Vykosa the Ascendant,,,,,Moon Hunter Keep,Urgarlag Chief-bane,Vykosa,,,,,,,
Online:War Machine,,Adds 25-1096 Maximum Stamina,"Gain Minor Slayer at all times, increasing your damage done to Dungeon, Trial, and Arena Monsters by 5%.",Adds 3-129 Weapon Damage and Spell Damage,"When you use an Ultimate ability while in combat, you and the closest 5 group members within 28 meters of you gain Major Slayer for 1 second per 10 Ultimate spent, increasing your damage done to Dungeon, Trial, and Arena Monsters by 10%.",,,,,,,,Sets,itemset,Maximum Stamina,Weapon/Spell Damage,Minor Slayer,Ultimate Bonus,Group Bonus,Medium Armor,Major Slayer,Halls of Fabrication,Distance Bonus,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,Morrowind,Morrowind,Refabricated Style,y,,,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,10,
Online:War Maiden,,Adds 15-657 Critical Chance,Adds 25-1096 Maximum Magicka,Adds 3-129 Weapon Damage and Spell Damage,Adds 13-600 Weapon Damage and Spell Damage to your Magic Damage abilities.,,,,,,,,Sets,itemset,Weapon/Spell Critical,Weapon/Spell Damage,Maximum Magicka,Magic Damage Bonus,5-Piece Bonus,Light Armor,Light Armor,Vvardenfell,Any Weapon,Jewelry,Telvanni Style,,,Morrowind,Morrowind,,y,,,,25-1096 Maximum,2,,126080,1,Artificer's Coat of the War Maiden,,,,,,,,,,,,,,,,,
Online:Ward of Cyrodiil,,Adds 3-129 Weapon Damage and Spell Damage,Adds 3-129 Stamina Recovery,Adds 3-129 Stamina Recovery,"When you deal Martial melee damage, you apply Major Defile to the enemy for 4 seconds, reducing their healing received and damage shield strength by 12%. This effect can occur once every 5 seconds.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Double Stamina Recovery,Stamina Recovery,Melee Damage Bonus,Major Defile,Medium Armor,5-Piece Bonus,Bruma,Medium Armor,Any Weapon,Jewelry,Alliance Style,Alliance Point Cost,,,,y,,,3-129,,3,,45736,1,,,,,,Recovery,,,,,,Bruuke's Hide of Cyrodiil's Ward,,,,,,
Online:Warrior's Fury,,Adds 28-1206 Maximum Health,Adds 3-129 Weapon Damage and Spell Damage,Adds 3-129 Weapon Damage and Spell Damage,"When you take damage, your Weapon Damage and Spell Damage is increased by 0-24 for 5 seconds, stacking up to 20 times. This effect can occur once every half second. Upon reaching 20 stacks, the duration is doubled but can no longer be refreshed.",,,,,,,,Sets,itemset,Maximum Health,Weapon/Spell Damage,Maximum Stamina,Counterattack,Double Weapon/Spell Damage,Heavy Armor,5-Piece Bonus,Elite Gear Vendors,Heavy Armor,Any Weapon,Jewelry,Alliance Style,Alliance Point Cost,,,,y,28-1206 Maximum,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Warrior-Poet,,Adds 28-1206 Maximum Health,Adds 34-1487 Armor,Adds 34-1487 Armor,"Gain Minor Toughness at all times, increasing your Max Health by 10%.",,,,,,,,Sets,,Maximum Health,Double Physical/Spell Resistance,Physical/Spell Resistance,Double Physical/Spell Resistance,Double Maximum Health,Heavy Armor,Minor Toughness,Vvardenfell,5-Piece Bonus,Heavy Armor,Any Weapon,Jewelry,Redoran Style,Morrowind,Morrowind,,,28-1206 Maximum,,,,3,,126043,1,Blade of the Warrior-Poet,,,,,,,,,,,,,,,,,
Online:Way of Air,,Adds 3-129 Stamina Recovery,Adds 3-129 Stamina Recovery,Increases the radius you can detect Sneaking enemies by 2 meters.,"When you use Roll Dodge, your Weapon Damage and Spell Damage is increased by 9-391 for 6 seconds.",,,,,,,,Sets,itemset,Stamina Recovery,Detection,Double Stamina Recovery,Triple Stamina Recovery,Dodge Roll Bonus,Medium Armor,Weapon/Spell Damage,Craglorn,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,Yokudan Style,,,,y,,,3-129,,f,,81311,1,Edge of the Black Sands of the Air,,,,,Recovery,,,,,,,,,,,,
Online:Way of Fire,,Adds 3-129 Weapon Damage and Spell Damage,Adds 28-1206 Maximum Health,Adds 15-657 Critical Chance,"When you deal damage with a Light or Heavy Attack, you deal an additional 571 Flame damage. This effect can occur once every 2 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Weapon/Spell Critical,Maximum Stamina,Flame Damage,5-Piece Bonus,Heavy Armor,Heavy Armor,Craglorn,Any Weapon,Jewelry,Yokudan Style,,,,,,y,28-1206 Maximum,,,,f,,81312,1,,,,,,,,,,,,,,,,,,
Online:Way of Martial Knowledge,,Adds 25-1096 Maximum Magicka,Adds 3-129 Weapon Damage and Spell Damage,Adds 3-129 Weapon Damage and Spell Damage,"While your Stamina is below 50%, your Light Attacks cause the enemy to take 8% additional damage for 5 seconds. This effect can occur once every 8 seconds.",,,,,,,,Sets,itemset,Maximum Magicka,Double Weapon/Spell Damage,Weapon/Spell Damage,Double Weapon/Spell Damage,Light Attack Bonus,Light Armor,Low Stamina Bonus,Craglorn,Reduce Enemy Defense,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,,,Yokudan Style,y,,,,25-1096 Maximum,f,,81313,1,,,,,,,,,,,,,,,,,,
Online:Way of the Arena,,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Magicka,Adds 25-1096 Maximum Stamina,Reduces the cost of Break Free by 40%.,,,,,,,,Sets,itemset,Maximum Health,Maximum Stamina,Maximum Magicka,Weapon/Spell Damage,Improved Break Free,All Weights,5-Piece Bonus,Lanista's Waystation,Light Armor,Medium Armor,Heavy Armor,Any Weapon,Jewelry,,,Crafting Site(s),y,28-1206 Maximum,,25-1096 Maximum,25-1096 Maximum,,,,,,,,,,,,Lanista's Waystation,,,,,,,,,,
Online:Weapon Sets,,,,,,,,,,,,,Sets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Whitestrake's Retribution,,Adds 28-1206 Maximum Health,Adds 34-1487 Armor,Adds 3-129 Health Recovery,"When you take damage while you are under 30% Health, you gain a damage shield that absorbs 303-13035 damage for 6 seconds. This effect can occur once every 15 seconds.",,,,,,,,Sets,itemset,Maximum Health,Health Recovery,Physical/Spell Resistance,Counterattack,Near Death Effect,All Weights,Damage Shield,,5-Piece Bonus,Light Armor,Medium Armor,Heavy Armor,Any Weapon,,,Jewelry,,28-1206 Maximum,Crafting Site(s),,,,,,,,,,,,,,,,,,,,,,,,
Online:Whorl of the Depths,,Adds 3-129 Weapon Damage and Spell Damage,"Gain Minor Slayer at all times, increasing your damage done to Dungeon, Trial, and Arena Monsters by 5%.",Adds 3-129 Weapon Damage and Spell Damage,"When you deal damage with a Light Attack, you apply Whorl of the Depths to the target, dealing 1016 Frost damage over 8 seconds. When this effect ends, a 5 meter whirlpool is created under the target for 6 seconds and deals 764 Frost damage every 1 second. This effect can occur once every 18 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Double Weapon/Spell Damage,Minor Slayer,Light Attack Bonus,Frost Damage,Light Armor,Damage Over Time,Dreadsail Reef,Area of Effect,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,High Isle,High Isle,Syrabanic Marine Style,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Widowmaker,,Adds 15-657 Critical Chance,Adds 15-657 Critical Chance,Adds 25-1096 Maximum Stamina,"When your alchemical poison fires, you drop a poisonous spore in front of you that bursts after 1 second, dealing 2856 Poison damage over 10 seconds to all enemies within 5 meters. This effect scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Weapon/Spell Critical,Double Weapon/Spell Critical,Double Weapon/Spell Critical,Maximum Stamina,Consumable Bonus,Medium Armor,Poison Damage,Cradle of Shadows,Damage Over Time,Area of Effect,5-Piece Bonus,Medium Armor,Any Weapon,Shadows of the Hist,Shadows of the Hist,Jewelry,y,,Silken Ring Style,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,,
Online:Wild Impulse,,"Reduce the cost of Impulse by 10%. Impulse places lingering elemental damage on your targets, dealing 605 Flame, 605 Shock, and 605 Frost Damage over 8 seconds. Each element ticks once over the duration and its damage scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,,,,Sets,itemset,Reduce Magicka Cost,Flame Damage,Skill Bonus,Shock Damage,Frost Damage,Weapon,Damage Over Time,Blackrose Prison,2-Piece Bonus,Destruction Staff,Honor Guard Style,,,Murkmire,Murkmire,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Wilderqueen's Arch,,Adds 15-657 Critical Chance,Adds 3-129 Stamina Recovery,Adds 25-1096 Maximum Stamina,Your Bow attacks reduce the Movement Speed of any enemy they hit by 0-15% and increase your Movement Speed by 0-15% for 3 seconds.,,,,,,,,Sets,itemset,Weapon/Spell Critical,Maximum Stamina,Stamina Recovery,Bow Bonus,Skill Bonus,Medium Armor,Crowd Control,Greenshade,Increase Movement Speed,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,,,Wood Elf Style,,,,3-129,,3,,34711,1,,,,,,Recovery,,,,,,Lamiascale Bow of the Wilderqueen,,,,,,
Online:Willow's Path,,Adds 3-129 Magicka Recovery,Adds 3-129 Stamina Recovery,Adds 3-129 Health Recovery,"Increases your Health, Magicka, and Stamina Recovery by 18%.",,,,,,,,Sets,itemset,Magicka Recovery,Health Recovery,Stamina Recovery,Double Magicka Recovery,Double Stamina Recovery,All Weights,Double Health Recovery,,5-Piece Bonus,Light Armor,Medium Armor,Heavy Armor,Any Weapon,,,Jewelry,,3-129,Crafting Site(s),3-129,3-129,,,,,,,,,Recovery,Recovery,,,,,,,,,,,,
Online:Willpower,,Adds 40-1752 Maximum Magicka,Adds 4-206 Weapon Damage and Spell Damage,,,,,,,,,,Sets,itemset,Maximum Magicka,3-Piece Bonus,Weapon/Spell Damage,Any Weapon,Jewelry,Three Piece,,Bone Shard Trophy Vault Ethereal Trophy Vault,,,,,,Imperial City,Imperial City,,y,,,,40-1752 Maximum,,,,,,,,,,,,,,,,,,,,,,
Online:Winter's Respite,,Adds 3-129 Magicka Recovery,Adds 25-1096 Maximum Magicka,Adds 25-1096 Maximum Magicka,"While in combat, casting abilities that leave an effect on the ground will create a circle of healing frost for 10 seconds. You and your group members restore 1125 Health every 2 seconds while inside the circle. This effect can occur once every 10 seconds and scales off the higher of your Max Magicka or Stamina.",,,,,,,,Sets,itemset,Magicka Recovery,Double Maximum Magicka,Maximum Magicka,Area of Effect Bonus,Skill Bonus,Light Armor,Group Bonus,Western Skyrim,Area of Effect,Restore Health,Heal Others,5-Piece Bonus,Light Armor,Greymoor,Greymoor,Any Weapon,,1125,Jewelry,,3-129,3,Blackreach Vanguard Style,159701,1,Fire Staff of the Gray Host,,,,Recovery,,,,,,,,,,,,,
