page,Online Skill Summary.line,Online Skill Summary.desc,Online Skill Summary.icon,Online Skill Summary.id,ESO Patch Note.1,ESO Patch Note.2,ESO Skills With.1,Online Skill Summary.type,ESO Skills With.2,Online Skill Summary.desc2,ESO Skills With.3,Online Skill Summary.linerank1,Online Skill Summary.linerank,Online Skill Summary.cost,Online Skill Summary.target,Online Skill Summary.casttime,ESO Skills With.4,Online Skill Summary.linerank2,Online Skill Summary.image,Online Skill Summary.imgdesc,Online Skill Summary.id1,Online Skill Summary.id2,Online Skill Summary.desc1,Online Skill Summary.morph1name,Online Skill Summary.morph1id,Online Skill Summary.morph1desc,Online Skill Summary.morph2name,Online Skill Summary.morph2id,Online Skill Summary.morph2icon,Online Skill Summary.morph2desc,Online Skill Summary.morph1icon,ESO Skills With.5,Mod Header.1,Online Skill Summary.duration,ESO Skills With.6,Online Skill Summary.attrib,Online Skill Summary.range,ESO Skills With.7,Online Skill Summary.radius,ESO Companion Skills With.1,ESO Companion Skills With.2,ESO Skills With.8,Online Skill Summary.desc3,Online Skill Summary.linerank3,Online Skill Summary.id3,ESO Skills With.9,ESO Companion Skills With.3,ESO Health Link.1,Online Skill Summary.area
Online:Superheated Ward,Earthen Heart,"Roil the air around you or an ally, granting a damage shield that absorbs up to [11998 / 12129 / 12260 / 12393] for 6 seconds. This ability scales off the higher of your Max Magicka or Stamina and is capped at 50% of the target's Max Health.",Earthen Heart-Superheated Ward,32194,1.5.2,* Obsidian Shard: Rank I of this ability now has the same travel speed as the other ranks.,Physical Damage,,Area of Effect,"Cost: 2295 Stamina, Range: 28 meters, Target: Enemy. Draw forth magma from below to hurl at an enemy, dealing [6352 / 6421 / 6491 / 6561] Flame Damage while applying a stack of Heat Shock, which increases the enemy's damage taken by 66 for 7 seconds per stack, up to 3 times. Hitting an enemy at max stacks of Heat Shock with this ability increases the damage done of the next cast of this ability within 6 seconds by 66%, up to once every 6 seconds.",Stun,,1,4590 Magicka,Cone,Instant,Fire Damage,,ON-skill-Superheated Ward.jpg,Superheated Ward,,,"Roil the air around you or an ally, granting a damage shield that absorbs up to 12396 for 6 seconds and reducing the next instance of damage taken by 10%. When the shield ends the latent heat warms the target, healing them for [4276 / 4323 / 4370 / 4417] Health. This ability scales off the higher of your Max Magicka or Stamina and the shield is capped at 50% of the target's Max Health.",Volcanic Ward,32199,Adds damage reduction to the next attack. Heals when the shield ends.,Magma Fist,32205,Earthen Heart-Magma Fist,Converts into a Stamina ability that deals damage instead of shielding. Enemies hit take additional damage from all sources.,Earthen Heart-Volcanic Ward,Heal Self,,,Heal Others,Magicka,,Increase Damage Taken,,,,Stamina Cost,,,,Magicka Cost,,,28 meters
Online:Supernatural Recovery,Vampire,(WHILE YOU HAVE VAMPIRISM STAGE 2 OR HIGHER) Increases your Magicka and Stamina Recovery by 5%.,Vampire-Supernatural Recovery,46041,2.1.4,* This passive now only works while any Vampire ability is slotted in your ability bar.,Passive Effect,Passive,Magicka Recovery,(WHILE YOU HAVE VAMPIRISM STAGE 2 OR HIGHER) Increases your Magicka and Stamina Recovery by 10%.,Stamina Recovery,4,,,,,,6,,,33095,46041,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Surge,Storm Calling,"Duration: [30 / 31 / 32 / 33] seconds. Invoke Meridia's name to gain Major Brutality and Sorcery, increasing your Weapon Damage and Spell Damage by 20% for [30 / 31 / 32 / 33] seconds. While active, dealing Critical Damage heals you for 2550 Health. This effect can occur once every 1 second.",Storm Calling-Surge,30390,1.6.5,* This ability now applies the Major Brutality buff. * All ranks and morphs of this ability now provide healing when you land a critical strike. * Reduced the healing cooldown to 0.25 seconds from 1 second. * Power Surge: This ability now applies the Major Brutality and Major Sorcery buffs. * Critical Surge: This ability now correctly lists a 20-second duration in its tooltip.,Increase Weapon Damage,,Increase Spell Damage,"Invoke Meridia's name to gain Major Brutality and Sorcery, increasing your Weapon Damage and Spell Damage by 20% for 33 seconds. While active, dealing Critical Damage heals you for [3000 / 3100 / 3200 / 3300] Health. This effect can occur once every 1 second.",Heal Self,,30,4050 Magicka,Self,Instant,Heal Others,,ON-skill-Surge passive.jpg,Surge and its morphs' passive visual,,,"Area: [15 / 16 / 17 / 18] meters, Target: Area. Invoke Meridia's name to gain Major Brutality and Major Sorcery, increasing your Weapon Damage and Spell Damage by 20% for 33 seconds. While active, activating a Critical heal causes the ability to heal you and your allies around you for 2550 Health. This effect can occur once every 3 seconds.",Power Surge,30396,"The heal now heals in an area around you but with a longer cooldown, and only triggers off Critical healing.",Critical Surge,30406,Storm Calling-Critical Surge,Increases the healing.,Storm Calling-Power Surge,Magicka Cost,,33 seconds,,Magicka,,,,,,,,,,,,,
Online:Survivalist,Argonian (Companion),Increases Physical and Spell Resistance by 3% and healing done by 3%.,Companion-Survivalist,193973,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion Passive,,,,1,,,,,,,,,,,,,,,,,,,,,Necrom,,,,,,,Passive Effect,Increase Physical Resistance,,,,,,Increase Spell Resistance,,
Online:Swarm,Animal Companions,"Unleash a swarm of fetcherflies to relentlessly attack an enemy, dealing [12276 / 12419 / 12551 / 12694] Magic Damage over 20 seconds. The fetcherflies rip through the enemy's flesh, afflicting them with Minor Vulnerability for the duration, increasing their damage taken by 5%.",Animal Companions-Swarm,86026,3.3.5,* Fixed an issue where this ability and its morphs were not being considered damage over time effects for various passive bonuses or procs.,Magic Damage,,Damage Over Time,"Cost: 2525 Stamina, Area: 5 meters. Unleash a swarm of fetcherflies to relentlessly attack an enemy, causing them to bleed for [12661 / 12793 / 12936 / 13090] Bleed Damage over 20 seconds. The fetcherflies rip through the original enemy's flesh, afflicting them with Minor Vulnerability for the duration, increasing their damage taken by 5%. Enemies near the carrier take [1151 / 1163 / 1176 / 1190] Bleed Damage every 2 seconds for the duration. You can only have one Growing Swarm active at a time.",Increase Damage Taken,,20,2970 Magicka,Enemy,Instant,Increase Damage Dealt,,ON-skill-Swarm.jpg,Swarm and morphs' cast,,,"Unleash a swarm of fetcherflies to relentlessly attack an enemy, dealing [12661 / 12793 / 12936 / 13090] Magic Damage over 20 seconds. Every second cast of this ability deals 60% increased damage. The fetcherflies rip through the enemy's flesh, afflicting them with Minor Vulnerability for the duration, increasing their damage taken by 5%.",Fetcher Infection,86030,Every second cast deals increased damage.,Growing Swarm,86034,Animal Companions-Growing Swarm,"Converts into a Stamina ability and deals Bleed Damage. Deals additional damage to nearby enemies of the affected target, but limits the cast to one at a time.",Animal Companions-Fetcher Infection,Bleed Damage,Crown Store,20 seconds,Area of Effect,Magicka,28 meters,Magicka Cost,,,,Stamina Cost,,,,,,,
Online:Swift Assault,Dual Wield (Companion),"Your Companion floods an enemy with steel, battering them with five consecutive attacks that each deal 630 Physical Damage.",Companion-Swift Assault,152629,8.2.0,* Updated the Companion's Dual Wield ability Swift Assault to now use the same player animation as Flurry.,,Companion,,,,,1,8 seconds,Enemy,0.6 seconds,,,,,,,,,,,,,,,,,Blackwood,0.6 seconds,,,5 meters,,,Physical Damage,Multiple Strikes,,,,,,,,
Online:Swift Warrior,Orc,Increases your Weapon Damage and Spell Damage by 86. Reduces the cost of Sprint by 4% and increases the Movement Speed bonus of Sprint by 3%.,Orc-Swift Warrior,45312,2.1.4,"* Swift: Renamed this passive to Swift Warrior. Swift Warrior will no longer increase Charge attacks, but will instead increase all Melee Weapon attack damage by 2/3/4%. * Swift Warrior: Fixed an issue where this passive was not increasing damage for melee-class abilities.",Passive Effect,Passive,Increase Weapon Damage,Increases your Weapon Damage and Spell Damage by 127. Reduces the cost of Sprint by 8% and increases the Movement Speed bonus of Sprint by 6%.,Increase Spell Damage,25,,,,,Reduce Activity Cost,35,,,33304,45311,,,,,,,,,,Increase Movement Speed,,,,,,,,,,,Increases your Weapon Damage and Spell Damage by 258. Reduces the cost of Sprint by 12% and increases the Movement Speed bonus of Sprint by 10%.,50,45312,,,,
Online:Swiftly Forgotten,Thieves Guild,Bounty is decreased by 46 after 3 minutes. Heat is decreased by 36 after 3 seconds.,Thieves Guild-Swiftly Forgotten,76457,,,Passive Effect,Passive,Escape Justice,Bounty is decreased by 69 after 3 minutes. Heat is decreased by 46 after 3 seconds.,,2,,,,,,5,,,76454,76455,,,,,,,,,,,Thieves Guild,,,,,,,,,,Bounty is decreased by 92 after 3 minutes. Heat is decreased by 55 after 3 seconds.,8,76456,,,,
Online:Swoop,Beasts of the Hunt,"Sharp-as-Night commands a cliff racer to dive bomb an enemy, dealing 3150 Magic Damage. If they are more than 7 meters away from the target, they set them Off Balance for 7 seconds.",Companion-Swoop,186056,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,1,12 seconds,Enemy,0.1 seconds,,,,,,,,,,,,,,,,,Necrom,,,,28 meters,,,Magic Damage,Off-Balance,,,,,,,,
Online:Sword and Board,One Hand and Shield,WITH ONE HAND WEAPON AND SHIELD EQUIPPED Increases your Weapon Damage and Spell Damage by 3% and the amount of damage you can block by 10%.,One Hand and Shield-Sword and Board,45452,,,Passive Effect,Passive,Increase Weapon Damage,WITH ONE HAND WEAPON AND SHIELD EQUIPPED Increases your Weapon Damage and Spell Damage by 5% and the amount of damage you can block by 20%.,Increase Spell Damage,10,,,,,Increase Block,25,,,29397,45452,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Synergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max,
Online:Syrabane's Boon,High Elf,Increases your Max Magicka by 600.,High Elf-Syrabane's Boon,117970,4.3.5,* Gift of Magnus: Gain 10% Max Magicka → Syrabane's Boon: Increases your Max Magicka by 2000.,Passive Effect,Passive,Increase Max Magicka,Increases your Max Magicka by 1200.,,10,,,,,,20,,,117968,117969,,,,,,,,,,,,,,,,,,,,,Increases your Max Magicka by 2000.,40,117970,,,,
Online:Tailoring,Clothing,Allows the use of Jute and Rawhide.,Clothing-Tailoring,70044,2.3.6,"* Monsters in scaled zones such as Cyrodiil, Wrothgar, and Hew's Bane will no longer drop a mixture of Rubedo Leather and Shadowhide if you have Rank 10 of the Tailoring passive. Instead, they will exclusively drop Rubedo Leather.",Crafting Effect,Passive,Crafting Quality,Allows the use of Flax and Hide.,,1,,,,,,5,,,47288,47289,,,,,,,,,,,,,,,,,,,,,Allows the use of Cotton and Leather.,10,47290,,,,
Online:Tannin Expertise,Clothing,Increases the chances of improving items with tannins.,Clothing-Tannin Expertise,48198,1.2.3,* Fixed a typo in the passive Tannin Expertise 1.,Crafting Effect,Passive,Increase Improvement Chance,Greatly increases the chances of improving items with tannins.,,10,,,,,,25,,,48196,48197,,,,,,,,,,,,,,,,,,,,,More than doubles the chances to improve items with tannins.,40,48198,,,,
Online:Teleport Strike,Assassination,"Flash through the shadows and ambush an enemy, dealing [4243 / 4289 / 4336 / 4383] Magic Damage and afflicting them with Minor Vulnerability for 10 seconds, increasing their damage taken by 5%.",Assassination-Teleport Strike,35871,1.5.2,* The tooltip for this ability now specifies that it immobilizes other player characters instead of stunning them.,Magic Damage,,Charge,"Cost: 3213 Stamina. Flash through the shadows and ambush an enemy, dealing [4383 / 4431 / 4479 / 4527] Physical Damage and afflicting them with Minor Vulnerability for 10 seconds, increasing their damage taken by 5%. Also grants you Empower and Minor Berserk for 10 seconds, increasing the damage of your Heavy Attacks against monsters by 150% and your damage done by 5%.",Increase Damage Taken,,4,3780 Magicka,Enemy,0.4 seconds,Area of Effect,,ON-skill-Teleport Strike.jpg,Teleport Strike,,,"Area: 6 meters. Flash through the shadows and ambush an enemy while unleashing a fan of knives, dealing 4383 Magic Damage to them and enemies around you. All enemies hit take an additional [5425 / 5485 / 5540 / 5605] Magic Damage over 5 seconds and are afflicted with Minor Vulnerability for 10 seconds, increasing their damage taken by 5%.",Lotus Fan,35882,"Now deals damage in an area around you, and deals additional damage over time to enemies hit.",Ambush,35898,Assassination-Ambush,Converts to a Stamina ability and deals Physical Damage. Also grants you Empower and Minor Berserk.,Assassination-Lotus Fan,Damage Over Time,,,Physical Damage,Magicka,22 meters,Empower,,,,Increase Damage Dealt,,,,Magicka Cost,,,
Online:Temper Expertise,Blacksmithing,Increases the chances of improving items with tempers.,Blacksmithing-Temper Expertise,48168,,,Crafting Effect,Passive,Increase Improvement Chance,Greatly increases the chances of improving items with tempers.,,10,,,,,,25,,,48166,48167,,,,,,,,,,,,,,,,,,,,,More than doubles the chances to improve items with tempers.,40,48168,,,,
Online:Tendrils of the Colorless Sea,Scholar of Apocrypha,"Azandar infuses their arm with abyssal arcanum and thrusts forward, dealing 1575 Physical Damage to enemies and applying Minor Vulnerability to them for 6 seconds, increasing the damage they take by 5%.",Companion-Tendrils of the Colorless Sea,191293,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,2,11.6 seconds,Enemy,0.4 seconds,,,,,,,,,,,,,,,,,Necrom,,,,15 meters,,,Physical Damage,Increase Damage Taken,,,,,,,,
Online:The Imperfect Ring,Herald of the Tome,"Cost Determined by Lowest Max Resource Summon a flawed rune under an enemy that etches foes nearby with scrawled glyphs, dealing [12276 / 12419 / 12551 / 12694] Magic Damage over 20 seconds. An ally near the initial target can activate the Runebreak synergy, dealing 7380 Frost Damage to enemies within 7 meters.",Herald of the Tome-The Imperfect Ring,40185836,9.3.5,"* Increased the radius of this ability and the Fulminating Rune morph to 6 meters, up from 5, to better match their visual effects. The Runebreak synergy from all versions of this ability is now also 6 meters, up from 5. ** Rune of Displacement (morph): Increased the radius of this morph to 10 meters, up from 8, to better match its visual effects.",Magicka Cost,,Stamina Cost,"Cost Determined by Lowest Max Resource Summon an explosive rune under an enemy that etches foes nearby with scrawled glyphs, dealing 12661 Magic Damage over 20 seconds. The rune lingers on the initial target for 6 seconds before detonating, dealing [3809 / 3851 / 3894 / 3934] Frost Damage to enemies within 7 meters. Rune detonation cannot be primed with Fulminating Rune again for 6 seconds. Up to 3 allies near the initial target can activate the Runebreak synergy, dealing 7380 Frost Damage to enemies within 7 meters.",Magic Damage,,42,3510 Stamina,Enemy,Instant,Frost Damage,,ON-skill-The Imperfect Ring.jpg,"The Imperfect Ring, its morphs and Runebreak synergy's visual",,,"Duration: 18 seconds, Radius: 10 meters. Cost Determined by Lowest Max Resource Summon a discharging rune under an enemy. After 2 seconds the rune pulses, pulling in foes between 2 to 10 meters and etching them with scrawled glyphs that deal [12670 / 12800 / 12940 / 13080] Magic Damage over 18 seconds. An ally near the initial target can activate the Runebreak synergy, dealing 7380 Frost Damage to enemies within 7 meters.",Rune of Displacement,40185839,Places a rune under the target that deals damage and pulls nearby enemies after a delay.,Fulminating Rune,40182988,Herald of the Tome-Fulminating Rune,Deals additional area damage after a delay. Up to 3 allies can use the Runebreak synergy.,Herald of the Tome-Rune of Displacement,Area of Effect,,20 seconds,Damage Over Time,Magicka or Stamina,22 meters,Synergy,5 meters,,,Pull,,,,,,,
